name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Candidatus Blochmannia vafer	251535	species	722585	2	2	0.0
Pseudomonas syringae group genomosp. 3	251701	species	6538260	1	0	0.0
Mahella australiensis	252966	species	3135972	1	1	0.0
Paraburkholderia phenoliruptrix	252970	species	7651131	1	0	0.0
Owenweeksia hongkongensis	253245	species	4000057	4	4	0.0
Fictibacillus arsenicus	255247	species	4055461	1	1	0.0
Dechloromonas aromatica	259537	species	4501104	1	1	0.0
Nitrosomonas sp. Is79A3	261292	species	3783444	1	1	0.0
Paraburkholderia phytofirmans	261302	species	8214658	2	0	0.0
Kangiella koreensis	261964	species	2852073	1	0	0.0
Yersinia aleksiciae	263819	species	4000307	1	1	0.0
Bacillus muralis	264697	species	5007018	2	1	0.0
Nostoc punctiforme	272131	species	9059191	1	1	0.0
Chlorobaculum parvum	274539	species	2289249	1	0	0.0
Collimonas arenae	279058	species	15078336	1	1	0.0
Staphylococcus pseudintermedius	283734	species	4509494	2	0	0.0
Alcanivorax dieselolei	285091	species	4928223	1	1	0.0
Alteromonas addita	287094	species	4649146	1	0	0.0
[Clostridium] clariflavum	288965	species	4897678	2	2	0.0
Bacteroides helcogenes	290053	species	3998906	1	1	0.0
Photorhabdus asymbiotica	291112	species	5094138	1	0	0.0
Thermosediminibacter oceani	291990	species	2280035	1	1	0.0
Dactylococcopsis salina	292566	species	3781008	1	1	0.0
Sphingopyxis sp. 113P3	292913	species	4664213	1	1	0.0
Haloquadratum walsbyi	293091	species	3219918	1	0	0.0
Methanobrevibacter olleyae	294671	species	2201192	2	1	0.0
Anoxybacillus amylolyticus	294699	species	3158269	2	1	0.0
Polaromonas sp. JS666	296591	species	5898676	2	0	0.0
Lactobacillus phage LP65	298338	species	131522	2	2	0.0
Enterobacter ludwigii	299767	species	4952770	1	0	0.0
Bacillus lehensis	300825	species	3993073	2	2	0.0
Deerpox virus W-848-83	305674	species	166259	1	1	0.0
Persephonella marina	309805	species	1983966	1	0	0.0
Sulfurihydrogenibium azorense	309806	species	1640877	3	3	0.0
Candidatus Liberibacter americanus	309868	species	1195201	1	0	0.0
Emticicia oligotrophica	312279	species	5220361	4	3	0.0
Croceibacter atlanticus	313588	species	2952962	2	1	0.0
Polaribacter sp. MED152	313598	species	2961474	1	1	0.0
Geobacter lovleyi	313985	species	3994874	1	1	0.0
Psychromonas sp. CNPT3	314282	species	3052410	1	0	0.0
Spiroplasma eriocheiris	315358	species	1365714	1	0	0.0
Streptococcus gallolyticus	315405	species	2285714	3	3	0.0
Leadbetterella byssophila	316068	species	4059653	1	1	0.0
Beggiatoa leptomitiformis	319938	species	4265296	8	7	0.0
Cyclobacterium amurskyense	320787	species	6158829	3	0	0.0
Synechococcus sp. JA-3-3Ab	321327	species	2932766	1	1	0.0
Paenibacillus sp. JDR-2	324057	species	7184930	2	2	0.0
Bacillus infantis	324767	species	4884713	1	1	0.0
Nonlabens dokdonensis	328515	species	3914632	1	1	0.0
Nitrospira defluvii	330214	species	4317083	1	1	0.0
Psychrobacter arcticus	334543	species	2650701	1	0	0.0
Thermovirga lienii	336261	species	1999646	1	1	0.0
Chlorobium chlorochromatii	337090	species	2572079	1	1	0.0
Gordonia sp. KTR9	337191	species	5885710	1	0	0.0
Blattabacterium sp. (Panesthia angustipennis spadica)	340044	species	632490	1	1	0.0
White spot syndrome virus	342409	species	309286	1	0	0.0
Pyrococcus sp. NA2	342949	species	1861320	1	1	0.0
Xenorhabdus doucetiae	351671	species	4203651	1	1	0.0
Xenorhabdus hominickii	351679	species	4522699	1	1	0.0
Halostagnicola larsenii	353800	species	4131176	1	1	0.0
Bacteroides dorei	357276	species	5310365	2	1	0.0
Roseiflexus sp. RS-1	357808	species	5801598	1	1	0.0
Methanoregula boonei	358766	species	2542943	1	1	0.0
Exiguobacterium sp. AT1b	360911	species	2999895	1	1	0.0
Pseudarthrobacter phenanthrenivorans	361575	species	4535320	1	0	0.0
Spiroplasma cantharicola	362837	species	1179577	1	1	0.0
Pelosinus fermentans	365349	species	5380816	3	2	0.0
Paenibacillus sabinae	365617	species	5270569	1	1	0.0
Blattabacterium sp. (Periplaneta americana)	367488	species	640442	2	1	0.0
Blattabacterium sp. (Blatta orientalis)	367806	species	638184	2	0	0.0
Gallionella capsiferriformans	370405	species	3162471	1	1	0.0
Isoptericola dokdonensis	372663	species	3826972	1	1	0.0
Rivularia sp. PCC 7116	373994	species	8728773	3	3	0.0
Synechococcus sp. PCC 73109	374982	species	3298676	1	0	0.0
Janthinobacterium sp. Marseille	375286	species	4110251	1	1	0.0
Natranaerobius thermophilus	375929	species	3191453	1	1	0.0
Bacteroides salanitronis	376805	species	4308663	3	3	0.0
Cyanobacterium aponinum	379064	species	4176973	3	2	0.0
Glossina pallidipes salivary gland hypertrophy virus	379529	leaf	190032	2	2	0.0
Aciduliprofundum boonei	379547	species	1486778	2	2	0.0
Hydrogenobaculum sp. Y04AAS1	380749	species	1559514	1	1	0.0
Cycloclasticus sp. P1	385025	species	2363215	5	3	0.0
Candidatus Ruthia magnifica	386487	species	1160782	1	0	0.0
Nitratiruptor sp. SB155-2	387092	species	1877931	2	2	0.0
Bartonella australis	388640	species	1596490	1	1	0.0
Pontibacter akesuensis	388950	species	4829559	2	2	0.0
Protochlamydia naegleriophila	389348	species	3030375	1	1	0.0
Ehrlichia sp. HF	391036	species	1148904	4	3	0.0
Terriglobus roseus	392734	species	5227858	1	1	0.0
Clostridium taeniosporum	394958	species	3503541	3	2	0.0
Cyanothece sp. PCC 7425	395961	species	5786110	1	1	0.0
Cyanothece sp. PCC 8802	395962	species	4803347	2	0	0.0
Zunongwangia profunda	398743	species	5128187	7	6	0.0
Thermoanaerobacter sp. X514	399726	species	2457259	1	0	0.0
Enterobacter sp. 638	399742	species	4676461	2	2	0.0
Pontibacter korlensis	400092	species	5462537	1	1	0.0
Virgibacillus sp. SK37	403957	species	3841730	4	3	0.0
Anaeromyxobacter sp. Fw109-5	404589	species	5277990	1	0	0.0
Alicyclobacillus acidocaldarius	405212	species	3164867	1	1	0.0
Treponema pedis	409322	species	2889325	2	2	0.0
Gramella forsetii	411153	species	3798465	1	0	0.0
Cronobacter dublinensis	413497	species	4628405	2	0	0.0
Cronobacter muytjensii	413501	species	4364114	1	1	0.0
Cronobacter turicensis	413502	species	4599092	2	1	0.0
[Polyangium] brachysporum	413882	species	6476147	1	0	0.0
Caldicellulosiruptor hydrothermalis	413888	species	2770676	6	1	0.0
Caldicellulosiruptor kronotskyensis	413889	species	2843785	5	0	0.0
Pseudoxanthomonas spadix	415229	species	3452554	1	0	0.0
Methanosarcina horonobensis	418008	species	5018607	5	2	0.0
Methanolobus psychrophilus	420950	species	3072769	3	2	0.0
Pedobacter steynii	430522	species	6581659	2	1	0.0
Sulfurihydrogenibium sp. YO3AOP1	436114	species	1838442	2	2	0.0
Geobacter sp. M18	443143	species	5277406	1	1	0.0
Niabella soli	446683	species	4697343	4	4	0.0
Acetobacter senegalensis	446692	species	3969909	1	1	0.0
Desulfarculus baarsii	453230	species	3655731	1	0	0.0
Bdellovibrio exovorus	453816	species	2657893	1	1	0.0
Xanthomonas euvesicatoria	456327	species	10838435	1	1	0.0
Alkaliphilus oremlandii	461876	species	3123558	1	1	0.0
Bordetella flabilis	463014	species	5954318	1	1	0.0
Bordetella bronchialis	463025	species	11845675	1	1	0.0
Geobacillus sp. WCH70	471223	species	3508804	4	4	0.0
Nitrosococcus watsonii	473531	species	3373286	5	2	0.0
Lactococcus phage 1706	475178	species	55597	1	1	0.0
Desulfurococcus kamchatkensis	477693	species	1365223	2	2	0.0
Oscillatoria nigro-viridis	482564	species	8272254	1	1	0.0
Burkholderia lata	482957	species	17031116	1	0	0.0
Paenibacillus riograndensis	483937	species	7919576	1	0	0.0
Sphingobium sp. YBL2	484429	species	5427419	1	1	0.0
Campylobacter peloridis	488546	species	1762793	2	0	0.0
Marinobacter sp. BSs20148	490759	species	4063864	1	1	0.0
Bacillus velezensis	492670	species	7701267	2	0	0.0
Thermoanaerobacter pseudethanolicus	496866	species	2362816	1	0	0.0
Kosakonia oryzae	497725	species	5303342	1	1	0.0
Cyanothece sp. PCC 7822	497965	species	7841948	1	1	0.0
Candidatus Korarchaeum cryptofilum	498846	species	1590757	1	0	0.0
Tepidanaerobacter acetatoxydans	499229	species	5521119	4	3	0.0
Oceanimonas sp. GK1	511062	species	3527244	1	1	0.0
Candidatus Azobacteroides pseudotrichonymphae	511435	species	1224919	1	0	0.0
Methylacidiphilum infernorum	511746	species	2287145	2	1	0.0
Dictyoglomus turgidum	513050	species	1855560	6	4	0.0
Microcystis panniformis	513223	species	5686839	1	1	0.0
Cronobacter universalis	535744	species	4436873	1	0	0.0
Mesorhizobium australicum	536018	species	6200534	1	0	0.0
beta proteobacterium CB	543913	species	2045720	1	1	0.0
Hydrogenobaculum sp. 3684	547143	species	1552775	2	0	0.0
Hydrogenobaculum sp. HO	547144	species	1552931	2	0	0.0
Hydrogenobaculum sp. SHO	547145	species	1552607	2	0	0.0
Hydrogenobaculum sp. SN	547146	species	1552931	2	0	0.0
Vibrio breoganii	553239	species	4492180	4	3	0.0
Acidianus hospitalis	563177	species	2137654	3	3	0.0
Geoglobus acetivorans	565033	species	1860815	1	0	0.0
Thermoanaerobacter sp. X513	573062	species	2456520	3	1	0.0
Francisella sp. TX077308	573569	species	2035931	1	1	0.0
Pandoraea oxalativorans	573737	species	6500731	1	0	0.0
Photorhabdus temperata	574560	species	5147098	3	2	0.0
Thermococcus paralvinellae	582419	species	1957742	1	1	0.0
Terribacillus aidingensis	586416	species	3577082	3	3	0.0
Pseudomonas chlororaphis	587753	species	16842584	2	1	0.0
Alteromonas australica	589873	species	8766305	2	2	0.0
Methylacidiphilum fumariolicum	591154	species	2476671	3	3	0.0
Ignavibacterium album	591197	species	3658997	10	8	0.0
Pantoea sp. At-9b	592316	species	6312783	1	0	0.0
Blattabacterium sp. (Blattella germanica)	624186	species	640935	1	1	0.0
Bifidobacterium kashiwanohense	630129	species	2354106	1	1	0.0
Arsenophonus symbiont of Lipoptena fortisetosa	634113	species	836724	2	1	0.0
Methanocaldococcus sp. FS406-22	644281	species	1773136	8	4	0.0
Kosmotoga olearia	651457	species	2302126	1	1	0.0
Halanaerobium hydrogeniformans	656519	species	2613117	1	1	0.0
Francisella noatunensis	657445	species	2229531	1	0	0.0
Bacillus bombysepticus	658666	species	5873592	3	0	0.0
Bacillus phage Wip1	663237	species	14319	1	1	0.0
Bacillus sp. 1NLA3E	666686	species	4815602	3	2	0.0
Aciduliprofundum sp. MAR08-339	673860	species	1437090	1	1	0.0
Candidatus Babela massiliensis	673862	species	1118422	2	2	0.0
Rhodoplanes sp. Z2-YC6860	674703	species	8193889	1	0	0.0
Agarivorans gilvus	680279	species	4416600	1	1	0.0
Caldisericum exile	693075	species	1558103	2	2	0.0
Cafeteria roenbergensis virus BV-PW1	693272	leaf	617453	1	1	0.0
Leptotrichia sp. oral taxon 212	712357	species	2444904	6	5	0.0
Streptococcus sp. oral taxon 431	712633	species	2177905	1	0	0.0
Selenomonas sp. oral taxon 136	713030	species	2458072	1	1	0.0
Alteromonas naphthalenivorans	715451	species	4972148	1	1	0.0
Caldicellulosiruptor obsidiansis	717609	species	2532343	4	2	0.0
cyanobacterium endosymbiont of Epithemia turgida	718217	species	2794318	1	1	0.0
Sphingobacterium sp. 21	743722	species	6226409	6	5	0.0
alpha proteobacterium HIMB59	744985	species	1410127	3	3	0.0
Winogradskyella sp. PG-2	754409	species	3811479	3	1	0.0
Methylophaga nitratireducenticrescens	754476	species	3137191	1	1	0.0
Clostridium sp. BNL1100	755731	species	4613747	4	3	0.0
Bacillus sp. WP8	756828	species	3708888	1	1	0.0
Siansivirga zeaxanthinifaciens	762954	species	3303986	6	5	0.0
Brochothrix phage A9	857312	species	127065	1	1	0.0
alpha proteobacterium HIMB5	859653	species	1343202	2	1	0.0
Methanobacterium paludis	868131	species	2546541	1	1	0.0
Synechococcus phage S-RIM2 R1_1999	869662	leaf	175430	1	1	0.0
Peptoniphilus sp. 1-1	875453	species	1601846	1	1	0.0
Methanobacterium lacus	877455	species	2583753	3	3	0.0
Chryseobacterium sp. StRB126	878220	species	5503743	1	1	0.0
Micromonas sp. RCC1109 virus MpV1	880161	species	184095	1	1	0.0
Methanoregula formicica	882104	species	2820858	1	1	0.0
Mageeibacillus indolicus	884684	species	1809746	1	1	0.0
Desulfosporosinus acidiphilus	885581	species	4991181	2	1	0.0
Caldanaerobacter subterraneus	911092	species	2689445	1	1	0.0
Human papillomavirus type 109	915426	leaf	7346	1	1	0.0
Pseudomonas brassicacearum	930166	species	13594158	1	0	0.0
Riemerella phage RAP44	936152	species	49329	1	0	0.0
Granulicella tundricola	940615	species	5503984	1	1	0.0
Arcobacter sp. L	944547	species	2947662	6	4	0.0
Palaeococcus pacificus	971279	species	1859370	1	1	0.0
Lacinutrix sp. 5H-3-7-4	983544	species	3296168	1	1	0.0
Glaciecola sp. 4H-3-7+YE-5	983545	species	5393591	1	1	0.0
Staphylococcus argenteus	985002	species	2787638	2	1	0.0
Vulcanisaeta moutnovskia	985052	species	2298983	1	1	0.0
Staphylococcus agnetis	985762	species	2503399	1	1	0.0
Candidatus Kinetoplastibacterium desouzaii	994692	species	833125	1	1	0.0
Candidatus Kinetoplastibacterium galatii	994695	species	822140	1	1	0.0
Candidatus Kinetoplastibacterium oncopeltii	994696	species	810172	1	1	0.0
Alfalfa dwarf virus	998864	species	14491	1	1	0.0
Candidatus Pelagibacter sp. IMCC9063	1002672	species	1284727	2	2	0.0
Metallosphaera cuprina	1006005	species	1840348	1	1	0.0
Defluviitoga tunisiensis	1006576	species	2053097	6	4	0.0
Lactobacillus ginsenosidimutans	1007676	species	2590556	1	0	0.0
Pyrococcus yayanosii	1008460	species	1716818	1	1	0.0
Planococcus plakortidis	1038856	species	3261818	1	0	0.0
Candidatus Arthromitus sp. SFB-rat-Yit	1041504	species	1515556	1	1	0.0
Thermococcus sp. 4557	1042877	species	2011320	1	1	0.0
Candidatus Gullanella endobia	1070130	species	938041	1	1	0.0
Thiolapillus brandeum	1076588	species	3153637	2	2	0.0
Persicobacter sp. JZB09	1085624	species	8251744	2	2	0.0
Burkholderia sp. YI23	1097668	species	8896411	1	0	0.0
Thermus sp. CCB_US3_UF1	1111069	species	2263488	1	1	0.0
Vibrio sp. EJY3	1116375	species	5452646	1	0	0.0
Elizabethkingia anophelis	1117645	species	7985304	5	4	0.0
Magnetococcus marinus	1124597	species	4719581	1	1	0.0
Paenibacillus beijingensis	1126833	species	5749967	1	1	0.0
Bacillus sp. JS	1127744	species	4120406	1	0	0.0
Bacillus phage BCP8-2	1129192	species	159071	1	1	0.0
Dehalobacter sp. CF	1131462	species	3092048	1	0	0.0
Melioribacter roseus	1134405	species	3300414	2	1	0.0
Lysinibacillus varians	1145276	species	4662822	1	1	0.0
Dehalobacter sp. DCA	1147129	species	3069953	1	0	0.0
Acinetobacter oleivorans	1148157	species	4152543	2	1	0.0
Moorea producens	1155739	species	9708656	1	1	0.0
Streptococcus sp. I-G2	1156431	species	1992567	4	1	0.0
Streptococcus sp. I-P16	1156433	species	2023580	3	0	0.0
Thermotoga sp. Cell2	1157947	species	1749904	2	0	0.0
Thermotoga sp. 2812B	1157948	species	1843731	2	0	0.0
Cronobacter condimenti	1163710	species	4499482	2	0	0.0
Enterobacter sp. R4-368	1166130	species	5155034	1	1	0.0
Draconibacterium orientale	1168034	species	5132075	4	2	0.0
Mycobacterium sp. MOTT36Y	1168287	species	5613626	1	0	0.0
Streptomyces pratensis	1169025	species	7656104	1	1	0.0
Microcoleus sp. PCC 7113	1173027	species	7966510	4	2	0.0
Synechococcus sp. PCC 7502	1173263	species	3583735	1	0	0.0
Niabella ginsenosidivorans	1176587	species	5627734	3	2	0.0
Pyrococcus sp. ST04	1183377	species	1736885	2	1	0.0
Mesotoga prima	1184387	species	2975953	1	0	0.0
Blattabacterium sp. (Blaberus giganteus)	1186051	species	632588	3	2	0.0
Flammeovirga sp. MY04	1191459	species	7327614	1	0	0.0
Lactobacillus hokkaidonensis	1193095	species	2400586	1	1	0.0
Snodgrassella alvi	1196083	species	2527978	1	1	0.0
Gilliamella apicola	1196095	species	3139412	2	2	0.0
Geobacter daltonii	1203471	species	4304501	2	1	0.0
Lactobacillus phage phiAQ113	1206110	species	36566	1	1	0.0
Celeribacter indicus	1208324	species	4969388	1	0	0.0
Planococcus halocryophilus	1215089	species	3424893	2	1	0.0
Clostridium bornimense	1216932	species	3617025	3	1	0.0
Cedar virus	1221391	species	18162	1	1	0.0
Fictibacillus phosphorivorans	1221500	species	4230665	1	1	0.0
Candidatus Nitrosopumilus sp. AR2	1229909	species	1690905	65	58	0.0
Salimicrobium jeotgali	1230341	species	2776927	1	1	0.0
Candidatus Pantoea carbekii	1235990	species	2348022	1	1	0.0
Janthinobacterium sp. B9-8	1236179	species	4726850	1	1	0.0
Campylobacter iguaniorum	1244531	species	5108357	3	1	0.0
Flammeovirgaceae bacterium 311	1257021	species	6665617	1	1	0.0
Frischella perrara	1267021	species	2692351	1	1	0.0
Acanthamoeba polyphaga moumouvirus	1269028	leaf	1021348	1	0	0.0
Mycobacterium sp. VKM Ac-1817D	1273687	species	6324222	1	1	0.0
Bradyrhizobium icense	1274631	species	8322773	1	1	0.0
Planktomarina temperata	1284658	species	3288122	1	0	0.0
Magnetospira sp. QH-2	1288970	species	4052370	1	0	0.0
Candidatus Methanomethylophilus alvus	1291540	species	1666795	1	0	0.0
Photobacterium gaetbulicola	1295392	species	5909413	1	1	0.0
Thermodesulfobacterium geofontis	1295609	species	1634377	3	3	0.0
Mucilaginibacter sp. PAMC 26640	1300914	species	5618021	3	2	0.0
Invertebrate iridovirus 22	1301279	species	197693	1	0	0.0
Invertebrate iridovirus 25	1301280	species	204815	1	0	0.0
Methanocaldococcus bathoardescens	1301915	species	1607556	2	0	0.0
Flavobacterium sp. PK15	1306519	species	3851214	5	5	0.0
Sphingobium sp. TKS	1315974	species	6228879	1	0	0.0
Archaeoglobus sulfaticallidus	1316941	species	2076931	3	1	0.0
Acinetobacter equi	1324350	species	3054269	1	1	0.0
Chryseobacterium gallinarum	1324352	species	4633632	1	1	0.0
Cellulophaga phage phi17:2	1327972	species	145343	1	0	0.0
Cellulophaga phage phi4:1	1328029	species	145865	1	0	0.0
Cycloclasticus zancles	1329899	species	2655425	3	1	0.0
Bordetella pseudohinzii	1331258	species	4558891	1	0	0.0
Formosa sp. Hel1_33_131	1336794	species	2735158	1	0	0.0
Formosa sp. Hel3_A1_48	1336795	species	2016454	1	0	0.0
Calothrix sp. 336/3	1337936	species	6420126	2	2	0.0
Geobacillus sp. JF8	1345697	species	3486308	2	0	0.0
Pseudoalteromonas sp. OCN003	1348114	species	4815987	1	1	0.0
Pandoravirus salinus	1349410	species	2473870	1	1	0.0
Aureimonas sp. AU20	1349819	species	5210858	1	1	0.0
Synechococcus sp. UTEX 2973	1350461	species	2744626	1	0	0.0
Bradyrhizobium diazoefficiens	1355477	species	14343524	1	1	0.0
Thermofilum sp. 1910b	1365176	species	1750259	1	0	0.0
Spirosoma radiotolerans	1379870	species	7029352	1	0	0.0
Hymenobacter sp. DG25B	1385664	species	4360029	1	1	0.0
Exiguobacterium sp. MH3	1399115	species	3164195	1	0	0.0
Bacteroidales bacterium CF	1400053	species	2657245	2	2	0.0
Candidatus Methanomassiliicoccus intestinalis	1406512	species	1931651	1	1	0.0
Halobacterium hubeiense	1407499	species	3130345	1	1	0.0
Corynebacterium deserti	1408191	species	3033893	3	1	0.0
Candidatus Tachikawaea gelatinosa	1410383	species	708439	1	0	0.0
Candidatus Nitrosopelagicus brevis	1410606	species	1232128	54	50	0.0
Hymenobacter sp. DG5B	1411621	species	4868852	1	0	0.0
endosymbiont of Llaveia axin axin	1415657	species	309299	1	1	0.0
Geosporobacter ferrireducens	1424294	species	5817221	1	1	0.0
Candidatus Thioglobus singularis	1427364	species	1714148	1	0	0.0
Pectobacterium bacteriophage PM2	1429794	species	170286	1	1	0.0
Methanosarcina sp. Kolksee	1434099	species	4553495	2	0	0.0
Escherichia phage HY01	1434323	species	166977	1	1	0.0
Vibrio tritonius	1435069	species	5221926	2	2	0.0
Candidatus Symbiobacter mobilis	1436290	species	2991840	1	1	0.0
Gynuella sunshinyii	1445505	species	6475959	2	2	0.0
Bacillus sp. Pc3	1446792	species	3982168	1	1	0.0
Aneurinibacillus sp. XH2	1450761	species	3664835	1	0	0.0
Sediminicola sp. YIK13	1453352	species	3569807	3	2	0.0
Chlamydia avium	1457141	species	1048269	1	0	0.0
Chlamydia gallinacea	1457153	species	1067202	1	0	0.0
Paenibacillus yonginensis	1462996	species	4985901	1	1	0.0
Lentibacillus amyloliquefaciens	1472767	species	3858284	1	1	0.0
Aureococcus anophagefferens virus	1474867	species	370920	1	1	0.0
Nonlabens sp. MIC269	1476901	species	2884293	5	3	0.0
Thermofilum carboxyditrophus	1483572	species	1754190	1	0	0.0
Hymenobacter sp. PAMC 26554	1484116	species	5451254	1	0	0.0
Candidatus Sodalis pierantonius	1486991	species	4513140	1	1	0.0
Anoxybacillus sp. B7M1	1490057	species	3869056	2	2	0.0
Flavobacterium gilvum	1492737	species	4402594	1	1	0.0
Flavisolibacter sp. LCS9	1492898	species	5940863	5	3	0.0
Candidatus Evansia muelleri	1495769	species	357498	1	1	0.0
Campylobacter sp. RM16704	1500960	species	1557536	2	1	0.0
Prochlorococcus sp. MIT 0604	1501268	species	1780061	2	2	0.0
Thermococcus eurythermalis	1505907	species	2126164	1	1	0.0
Jeotgalibacillus malaysiensis	1508404	species	4119509	2	2	0.0
Thermotoga profunda	1508420	species	2187612	2	2	0.0
Candidatus Arthromitus sp. SFB-mouse-NL	1508644	species	1654902	3	0	0.0
Planococcus sp. PAMC 21323	1526927	species	3199864	1	0	0.0
Escherichia phage HY02	1527531	species	86252	1	1	0.0
Rickettsiales bacterium Ac37b	1528098	species	1917564	2	2	0.0
Paenibacillus sp. FSL P4-0081	1536769	species	8423054	4	3	0.0
Paenibacillus sp. FSL R7-0273	1536772	species	7288921	1	1	0.0
Paenibacillus sp. FSL H7-0357	1536774	species	7692748	1	1	0.0
Paenibacillus sp. FSL H7-0737	1536775	species	6765883	2	0	0.0
Methylomonas denitrificans	1538553	species	5172098	1	0	0.0
Sphingobacterium sp. ML3W	1538644	species	5329010	2	1	0.0
Citrobacter phage Moon	1540095	species	170341	1	1	0.0
Candidatus Izimaplasma sp. HR1	1541959	species	1878735	1	0	0.0
Francisella sp. FSC1006	1547445	species	2015987	1	1	0.0
Thermofilum sp. 1807-2	1550241	species	1611988	2	2	0.0
Yellowstone Lake virophage 6	1557034	species	24837	1	1	0.0
Mycobacterium sp. QIA-37	1561223	species	4855372	1	1	0.0
Fermentimonas caenicola	1562970	species	2808926	1	1	0.0
Bacillus sp. X1(2014)	1565991	species	3422674	2	1	0.0
Paenibacillus sp. IHBB 10380	1566358	species	5787303	3	2	0.0
Bacillus sp. BH072	1570330	species	4069641	1	0	0.0
Candidatus Nitrosopumilus adriaticus	1580092	species	1803090	62	55	0.0
Candidatus Methylopumilus turicensis	1581680	species	1754988	1	1	0.0
Fusobacterium hwasookii	1583098	species	2496436	5	3	0.0
Yellowstone lake mimivirus	1586712	species	73689	1	1	0.0
Cyanophage P-TIM40	1589733	species	188632	1	0	0.0
Listeria phage vB_LmoS_188	1591072	species	38392	1	0	0.0
Listeria phage vB_LmoS_293	1591073	species	40759	1	0	0.0
Helicobacter himalayensis	1591088	species	1829936	1	1	0.0
Candidatus Nitrosotenuis cloacae	1603555	species	1620156	28	25	0.0
Acinetobacter sp. NCu2D-2	1608473	species	3048277	1	0	0.0
Methanobrevibacter sp. YE315	1609968	species	2273296	1	1	0.0
Geminocystis sp. NIES-3708	1615909	species	4042078	6	4	0.0
Geminocystis sp. NIES-3709	1617448	species	4426059	4	4	0.0
Arthrobacter sp. IHBB 11108	1618207	species	3599434	1	1	0.0
Lutibacter sp. LP1	1622118	species	2966978	4	3	0.0
Geobacillus sp. 12AMOR1	1629723	species	3442724	1	0	0.0
Acetobacter sp. SLV-7	1633874	species	3106397	1	0	0.0
Acinetobacter sp. TTH0-4	1646498	species	2962453	1	1	0.0
Anabaena sp. wa102	1647413	species	5782034	3	2	0.0
Bacillus paralicheniformis	1648923	species	4382163	2	2	0.0
Pseudomonas sp. CCOS 191	1649877	species	6012947	1	1	0.0
Caldimicrobium thiodismutans	1653476	species	1814952	1	0	0.0
Pseudomonas sp. GR 6-02	1659194	species	6500345	1	1	0.0
Methylophilus sp. TWE2	1662285	species	3079044	1	0	0.0
Bacillus glycinifermentans	1664069	species	4607442	1	1	0.0
Salmon gill poxvirus	1680908	species	241564	1	1	0.0
Chryseobacterium sp. IHB B 10212	1685010	species	4871648	3	3	0.0
Enterobacter sp. FY-07	1692238	species	5138701	1	1	0.0
Bordetella sp. H567	1697043	species	5532470	2	2	0.0
Oblitimonas alkaliphila	1697053	species	14141857	2	0	0.0
Candidatus Thioglobus autotrophicus	1705394	species	1512449	2	2	0.0
Rosellinia necatrix endornavirus 1	1708712	species	9639	1	1	0.0
Thermococcus piezophilus	1712654	species	1928800	2	2	0.0
Turicibacter sp. H121	1712675	species	2622031	2	2	0.0
Staphylococcus sp. AntiMn-1	1715860	species	2738396	6	4	0.0
Pedobacter sp. PACM 27299	1727164	species	6147290	1	1	0.0
Algibacter alginolytica	1736674	species	3994770	3	3	0.0
Nostoc sp. NIES-3756	1751286	species	6987571	1	1	0.0
Fischerella sp. NIES-3754	1752063	species	5826863	3	3	0.0
Leptolyngbya sp. NIES-3755	1752064	species	6761657	1	1	0.0
Streptococcus sp. A12	1759399	species	1874337	1	1	0.0
Flavobacterium sp. LPB0076	1763534	species	3027315	1	1	0.0
Hydrogenophaga sp. LPB0072	1763535	species	4944132	1	0	0.0
Thalassotalea sp. LPB0090	1763536	species	3861670	1	1	0.0
Paenibacillus sp. LPB0068	1763538	species	4757181	4	3	0.0
Paucibacter sp. KCTC 42545	1768242	species	5169161	1	1	0.0
Polaribacter vadi	1774273	species	3809314	4	4	0.0
Bacillus sp. SDLI1	1774743	species	4134042	1	1	0.0
Alteromonas sp. Mac1	1777491	species	4696291	1	0	0.0
Candidatus Doolittlea endobia	1778262	species	846562	1	0	0.0
Gemella sp. oral taxon 928	1785995	species	1769679	1	1	0.0
Leptotrichia sp. oral taxon 847	1785996	species	2194935	2	2	0.0
Bat mastadenovirus WIV13	1788435	species	29162	1	1	0.0
Acinetobacter sp. BRTC-1	1789224	species	3741098	1	0	0.0
Wenyingzhuangia fucanilytica	1790137	species	3427057	3	2	0.0
Stenotrophomonas sp. KCTC 12332	1793721	species	4541594	1	0	0.0
Frondihabitans sp. PAMC 28766	1795630	species	4766863	1	0	0.0
Bacteroides sp. I48	1796613	species	4839918	1	1	0.0
Sphingorhabdus sp. M41	1806885	species	3339521	1	1	0.0
Arthrobacter sp. ZXY-2	1806905	species	5058708	1	1	0.0
Geobacillus sp. JS12	1813182	species	3721489	1	0	0.0
Shigella sp. PAMC 28760	1813821	species	4558287	2	0	0.0
Streptococcus halotolerans	1814128	species	2182100	1	1	0.0
Marinobacterium sp. ST58-10	1821621	species	5191608	1	1	0.0
Streptococcus marmotae	1825069	species	2322791	3	1	0.0
Bacillus sp. IHB B 7164	1827146	species	5036631	1	0	0.0
Lachnoclostridium sp. YL32	1834196	species	7225343	1	0	0.0
Parabacteroides sp. YL27	1834200	species	3306456	1	1	0.0
Burkholderiales bacterium YL45	1834205	species	2923068	1	1	0.0
Erysipelotrichaceae bacterium I46	1834207	species	4468295	1	1	0.0
Polynucleobacter duraquae	1835254	species	2026292	2	2	0.0
